ms,features,map,requested_nm,commanded_nm,limit_nm,fuel_multiplier,ethanol_filtered,dtcs,limp,launch,shift
0,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
20,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
40,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
60,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
80,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
100,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
120,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
140,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
160,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
180,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
200,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
220,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
240,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
260,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
280,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
300,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
320,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
340,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
360,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
380,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
400,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
420,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
440,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
460,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
480,15,0,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
500,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
520,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
540,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
560,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
580,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
600,15,2,0.00000,0.00000,350.00000,1.04256,10.00000,0,0,0,0
620,15,2,245.00000,2.00000,350.00000,1.04256,10.00000,0,0,0,0
640,15,2,245.00000,4.00000,350.00000,1.04256,10.00000,0,0,0,0
660,15,2,245.00000,6.00000,350.00000,1.04256,10.00000,0,0,0,0
680,15,2,245.00000,8.00000,350.00000,1.04256,10.00000,0,0,0,0
700,15,2,245.00000,10.00000,350.00000,1.04256,10.00000,0,0,0,0
720,15,2,245.00000,12.00000,350.00000,1.04256,10.00000,0,0,0,0
740,15,2,245.00000,14.00000,350.00000,1.04256,10.00000,0,0,0,0
760,15,2,245.00000,16.00000,350.00000,1.04256,10.00000,0,0,0,0
780,15,2,245.00000,18.00000,350.00000,1.04256,10.00000,0,0,0,0
800,15,2,245.00000,20.00000,350.00000,1.04256,10.00000,0,0,0,0
820,15,2,245.00000,22.00000,350.00000,1.04256,10.00000,0,0,0,0
840,15,2,245.00000,24.00000,350.00000,1.04256,10.00000,0,0,0,0
860,15,2,245.00000,26.00000,350.00000,1.04256,10.00000,0,0,0,0
880,15,2,245.00000,28.00000,350.00000,1.04256,10.00000,0,0,0,0
900,15,2,245.00000,30.00000,350.00000,1.04256,10.00000,0,0,0,0
920,15,2,245.00000,32.00000,350.00000,1.04256,10.00000,0,0,0,0
940,15,2,245.00000,34.00000,350.00000,1.04256,10.00000,0,0,0,0
960,15,2,245.00000,36.00000,350.00000,1.04256,10.00000,0,0,0,0
980,15,2,245.00000,38.00000,350.00000,1.04256,10.00000,0,0,0,0
1000,15,2,245.00000,40.00000,350.00000,1.04256,10.00000,0,0,0,0
1020,15,2,245.00000,42.00000,350.00000,1.04256,10.00000,0,0,0,0
1040,15,2,245.00000,44.00000,350.00000,1.04256,10.00000,0,0,0,0
1060,15,2,245.00000,46.00000,350.00000,1.04256,10.00000,0,0,0,0
1080,15,2,245.00000,48.00000,350.00000,1.04256,10.00000,0,0,0,0
1100,15,2,245.00000,50.00000,350.00000,1.04256,10.00000,0,0,0,0
1120,15,2,245.00000,52.00000,350.00000,1.04256,10.00000,0,0,0,0
1140,15,2,245.00000,54.00000,350.00000,1.04256,10.00000,0,0,0,0
1160,15,2,245.00000,56.00000,350.00000,1.04256,10.00000,0,0,0,0
1180,15,2,245.00000,58.00000,350.00000,1.04256,10.00000,0,0,0,0
1200,15,2,245.00000,60.00000,350.00000,1.04256,10.00000,0,0,0,0
1220,15,2,245.00000,62.00000,350.00000,1.04256,10.00000,0,0,0,0
1240,15,2,245.00000,64.00000,350.00000,1.04256,10.00000,0,0,0,0
1260,15,2,245.00000,66.00000,350.00000,1.04256,10.00000,0,0,0,0
1280,15,2,245.00000,68.00000,350.00000,1.04256,10.00000,0,0,0,0
1300,15,2,245.00000,70.00000,350.00000,1.04256,10.00000,0,0,0,0
1320,15,2,245.00000,72.00000,350.00000,1.04256,10.00000,0,0,0,0
1340,15,2,245.00000,74.00000,350.00000,1.04256,10.00000,0,0,0,0
1360,15,2,245.00000,76.00000,350.00000,1.04256,10.00000,0,0,0,0
1380,15,2,245.00000,78.00000,350.00000,1.04256,10.00000,0,0,0,0
1400,15,2,245.00000,80.00000,350.00000,1.04256,10.00000,0,0,0,0
1420,15,2,245.00000,82.00000,350.00000,1.04256,10.00000,0,0,0,0
1440,15,2,245.00000,84.00000,350.00000,1.04256,10.00000,0,0,0,0
1460,15,2,245.00000,86.00000,350.00000,1.04256,10.00000,0,0,0,0
1480,15,2,245.00000,88.00000,350.00000,1.04256,10.00000,0,0,0,0
1500,15,2,245.00000,90.00000,350.00000,1.04256,10.00000,0,0,0,0
1520,15,2,245.00000,92.00000,350.00000,1.04256,10.00000,0,0,0,0
1540,15,2,245.00000,94.00000,350.00000,1.04256,10.00000,0,0,0,0
1560,15,2,245.00000,96.00000,350.00000,1.04256,10.00000,0,0,0,0
1580,15,2,245.00000,98.00000,350.00000,1.04256,10.00000,0,0,0,0
1600,15,2,245.00000,100.00000,350.00000,1.04256,10.00000,0,0,0,0
1620,15,2,245.00000,102.00000,350.00000,1.04256,10.00000,0,0,0,0
1640,15,2,245.00000,104.00000,350.00000,1.04256,10.00000,0,0,0,0
1660,15,2,245.00000,106.00000,350.00000,1.04256,10.00000,0,0,0,0
1680,15,2,245.00000,108.00000,350.00000,1.04256,10.00000,0,0,0,0
1700,15,2,245.00000,110.00000,350.00000,1.04256,10.00000,0,0,0,0
1720,15,2,245.00000,112.00000,350.00000,1.04256,10.00000,0,0,0,0
1740,15,2,245.00000,114.00000,350.00000,1.04256,10.00000,0,0,0,0
1760,15,2,245.00000,116.00000,350.00000,1.04256,10.00000,0,0,0,0
1780,15,2,245.00000,118.00000,350.00000,1.04256,10.00000,0,0,0,0
1800,15,2,245.00000,120.00000,350.00000,1.05542,12.88461,0,0,0,0
1820,15,2,245.00000,122.00000,350.00000,1.06805,15.65828,0,0,0,0
1840,15,2,245.00000,124.00000,350.00000,1.08044,18.32527,0,0,0,0
1860,15,2,245.00000,126.00000,350.00000,1.09258,20.88968,0,0,0,0
1880,15,2,245.00000,128.00000,350.00000,1.10449,23.35547,0,0,0,0
1900,15,2,245.00000,130.00000,350.00000,1.11615,25.72641,0,0,0,0
1920,15,2,245.00000,132.00000,350.00000,1.12757,28.00616,0,0,0,0
1940,15,2,245.00000,134.00000,350.00000,1.13874,30.19823,0,0,0,0
1960,15,2,245.00000,136.00000,350.00000,1.14967,32.30599,0,0,0,0
1980,15,2,245.00000,138.00000,350.00000,1.16034,34.33268,0,0,0,0
2000,15,2,245.00000,140.00000,350.00000,1.17078,36.28143,0,0,0,0
2020,15,2,245.00000,142.00000,350.00000,1.18096,38.15522,0,0,0,0
2040,15,2,245.00000,144.00000,350.00000,1.19091,39.95694,0,0,0,0
2060,15,2,245.00000,146.00000,350.00000,1.20060,41.68937,0,0,0,0
2080,15,2,245.00000,148.00000,350.00000,1.21006,43.35516,0,0,0,0
2100,15,2,245.00000,150.00000,350.00000,1.21928,44.95689,0,0,0,0
2120,15,2,245.00000,152.00000,350.00000,1.22826,46.49701,0,0,0,0
2140,15,2,245.00000,154.00000,350.00000,1.23700,47.97789,0,0,0,0
2160,15,2,245.00000,156.00000,350.00000,1.24552,49.40182,0,0,0,0
2180,15,2,245.00000,158.00000,350.00000,1.25380,50.77098,0,0,0,0
2200,15,2,245.00000,160.00000,350.00000,1.26186,52.08748,0,0,0,0
2220,15,2,245.00000,162.00000,350.00000,1.26969,53.35334,0,0,0,0
2240,15,2,245.00000,164.00000,350.00000,1.27730,54.57052,0,0,0,0
2260,15,2,245.00000,166.00000,350.00000,1.28470,55.74089,0,0,0,0
2280,15,2,245.00000,168.00000,350.00000,1.29188,56.86624,0,0,0,0
