ms,rpm,pedal,speed,coolant,ethanol,ethanol_age,measured_torque,map,brake,clutch,launch
0,1000,0,0,90,10,0,0,2,1,0,0
20,1000,0,0,90,10,0,0,2,1,0,0
40,1000,0,0,90,10,0,0,2,1,0,0
60,1000,0,0,90,10,0,0,2,1,0,0
80,1000,0,0,90,10,0,0,2,1,0,0
100,1000,0,0,90,10,0,0,2,1,0,0
120,1000,0,0,90,10,0,0,2,1,0,0
140,1000,0,0,90,10,0,0,2,1,0,0
160,1000,0,0,90,10,0,0,2,1,0,0
180,1000,0,0,90,10,0,0,2,1,0,0
200,1000,0,0,90,10,0,0,2,1,0,0
220,1000,0,0,90,10,0,0,2,1,0,0
240,1000,0,0,90,10,0,0,2,1,0,0
260,1000,0,0,90,10,0,0,2,1,0,0
280,1000,0,0,90,10,0,0,2,1,0,0
300,1000,0,0,90,10,0,0,2,1,0,0
320,1000,0,0,90,10,0,0,2,1,0,0
340,1000,0,0,90,10,0,0,2,1,0,0
360,1000,0,0,90,10,0,0,2,1,0,0
380,1000,0,0,90,10,0,0,2,1,0,0
400,1000,0,0,90,10,0,0,2,1,0,0
420,1000,0,0,90,10,0,0,2,1,0,0
440,1000,0,0,90,10,0,0,2,1,0,0
460,1000,0,0,90,10,0,0,2,1,0,0
480,1000,0,0,90,10,0,0,2,1,0,0
500,1000,0,0,90,10,0,0,2,1,0,0
520,1000,0,0,90,10,0,0,2,1,0,0
540,1000,0,0,90,10,0,0,2,1,0,0
560,1000,0,0,90,10,0,0,2,1,0,0
580,1000,0,0,90,10,0,0,2,1,0,0
600,1000,0,0,90,10,0,0,2,1,0,0
620,3000,70,40,90,10,0,0,2,0,0,0
640,3000,70,40,90,10,0,0,2,0,0,0
660,3000,70,40,90,10,0,0,2,0,0,0
680,3000,70,40,90,10,0,0,2,0,0,0
700,3000,70,40,90,10,0,0,2,0,0,0
720,3000,70,40,90,10,0,0,2,0,0,0
740,3000,70,40,90,10,0,0,2,0,0,0
760,3000,70,40,90,10,0,0,2,0,0,0
780,3000,70,40,90,10,0,0,2,0,0,0
800,3000,70,40,90,10,0,0,2,0,0,0
820,3000,70,40,90,10,0,0,2,0,0,0
840,3000,70,40,90,10,0,0,2,0,0,0
860,3000,70,40,90,10,0,0,2,0,0,0
880,3000,70,40,90,10,0,0,2,0,0,0
900,3000,70,40,90,10,0,0,2,0,0,0
920,3000,70,40,90,10,0,0,2,0,0,0
940,3000,70,40,90,10,0,0,2,0,0,0
960,3000,70,40,90,10,0,0,2,0,0,0
980,3000,70,40,90,10,0,0,2,0,0,0
1000,3000,70,40,90,10,0,0,2,0,0,0
1020,3000,70,40,90,10,0,0,2,0,0,0
1040,3000,70,40,90,10,0,0,2,0,0,0
1060,3000,70,40,90,10,0,0,2,0,0,0
1080,3000,70,40,90,10,0,0,2,0,0,0
